,Topic,Count,Name,Representation,Representative_Docs
380,379,17,379_auf_t4qmeeqroe_im6f5jl4jc_ynyomttkeb,"['auf', 't4qmeeqroe', 'im6f5jl4jc', 'ynyomttkeb', 'yap', 'pw3rlhymgn', 'nqs27xzto7', 'bobbie_and_leo', 'sealteamcbs', '7ko9jvdhvl']","['Imagine you about to get jumped . You call the police . You grab a knife to defend yourself . Police come and shoot… https://t.co/7kO9jvdHVl', ""@TomiLahren You don't want to get shot, you should listen to police. Auf police tell you don't reach in your car do… https://t.co/T4qmeeQRoe"", 'When you are on set and the bad guy drives behind you and then suicide bombs a police station. sealteamcbs… https://t.co/Nqs27xZTo7']"
381,380,17,380_killed_095_1099_stats,"['killed', '095', '1099', 'stats', '89', '2019', 'average', 'shootings', 'citizens', 'math']","['@latimes by that math, there would be 1,095 fatal police shootings (of armed &amp; unarmed suspects) in any given year… https://t.co/VE6W5R9iaQ', '@AFiscalHawk In 2019 89 police were killed on duty. They killed 1099 citizens. Check who the thugs are.', '@valleysmonkey 2019, police killed 1099 citizens while only 89 police were killed. They’re the danger.']"
382,381,17,381_blm_0hhtaring7_farse_0lnnsvjelr,"['blm', '0hhtaring7', 'farse', '0lnnsvjelr', 'yeqgg5pawc', 'zhzfby2l9u', 'ankita_2501', 'ar1ny4lrdr', 'cyrepnbrg2', 'jvvp0frxcq']","['@dumners @alfylasagna Be peaceful, but as a black person living here, I think a lot of people can use a BLM presenc… https://t.co/jVVp0FrXcq', '@Ankita_2501 @imyourmoderator @voxdotcom Keep thinking #BLM stands for black lives. \n\nYour ignorance is showing. \n\nhttps://t.co/Xo0YijU2u3', '@1313bakker @FerrisWheelPro @BenNadeau11 I try to stay respectful. BLM doesn’t mean only black lives matter and Joe… https://t.co/zHzFBY2L9u']"
383,382,17,382_spike_spikes_numbers_cases,"['spike', 'spikes', 'numbers', 'cases', 'covid', '0ffxlerv86', 'gld', '8ifjelf5ma', '6eqkpkjpm0', '9nmzc97gtk']","['I worry the protests will cause a massive spike in Covid cases among young people. Look at this Seattle crowd (nyti… https://t.co/1TKh9HM4hQ', ""@LuisFade1 Ain't gonna see a real protest induced spike for at least a week I think. All the numbers popping up rn… https://t.co/5jQ6cx8tmg"", 'Huh🤔 but I thought the protest was gonna cause a spike🤔']"
384,383,17,383_louisville_breonna_taylor_ky,"['louisville', 'breonna', 'taylor', 'ky', 'shot', 'hankison', 'suspect', 'ap', 'regard', 'kentucky']","['With Louisville, the suspect shot at the police officer.', 'LOUISVILLE, Ky. (@AP) — Louisville police: 2 officers shot amid protests over lack of charges in Breonna Taylor death; suspect in custody.', ""LOUISVILLE, Ky. (@AP) — Louisville's mayor says one of three police officers involved in the fatal shooting of Breonna Taylor will be fired.""]"
385,384,17,384_cosponsor_bill_reform_congress,"['cosponsor', 'bill', 'reform', 'congress', 'citizen', 'became', 'major', 'democrats', 'legalize', 'sweeping']","['I just became a citizen cosponsor of the major police reform bill before Congress. Cosponsor the bill or leave a co… https://t.co/I3yR0JJO6z', 'I just became a citizen cosponsor of the major police reform bill before Congress. Cosponsor the bill or leave a co… https://t.co/KNZaFtv7ee', 'I just became a citizen cosponsor of the major police reform bill before Congress. Cosponsor the bill or leave a co… https://t.co/avgsj9Ae8c']"
386,385,17,385_dumb_dumbest_jeoarg4be2_djdustyknuckles,"['dumb', 'dumbest', 'jeoarg4be2', 'djdustyknuckles', 'oujbax83fs', 'crqzvr7km4', 'ohthatsnajee22', 'o51jppeftm', 'jjmwf5w42y', 'pwpl5nojhy']","['@kenbone18 @giragoes Ken, that is an unfair representation of what I said. I don’t decide who is “too dumb” and I e… https://t.co/nyQmiXpdI9', '@djdustyknuckles @1llest_Steez sound dumb, I can tell the typa nigga you is letting a nigga walk you into the stree… https://t.co/cRqZVr7Km4', '@steelers7678 @BigPooh_91 @steelers @ohthatsNajee22 Sound dumb that nigga Najee is cold and James Connor still made… https://t.co/ntu76zxTP4']"
387,386,17,386_royalty_king_queen_kings,"['royalty', 'king', 'queen', 'kings', 'crown', 'ayyo_savageee', 'conection', 'sisterswe', 'bpfokkpimc', 'telapathic']","['Why do niggas insist on being kings and queens? Everybody can’t be royalty! It’s not a kingdom if there are no subjects!', 'Y’all fall in love with these royalty titles. Idc to be a king, and idc for a queen. I’m a regular ass nigga from B… https://t.co/0eQNIYKLbx', 'You can have them hoes I’m a queen nigga nothing less than royalty 🤎']"
388,387,17,387_april_weekends_summer_6am,"['april', 'weekends', 'summer', '6am', 'february', 'june', 'devantej23', 'nvle2n8uma', 'horoscopes', 'month']","['Damn it is April first lol he a cold nigga', 'Y’all I really be waking up at 6am on the weekends to watch niggas race! Smdh I don’t even know who I am anymore.', 'I can’t believe I was up at 6am on the weekends to watch niggas drive fast. #f1']"
389,388,17,388_slapped_would_ve_sweartagawd,"['slapped', 'would', 've', 'sweartagawd', 'dumbasss', 'windmilled', 'floor', 'dwayne', 'ebola', 'aisle']","['Tbh I would’ve slapped this nigga in the parking lot tbh 😂', 'I would of hopped out and called Uber Headquarters and sued his ass dirty ass nigga gave me Ebola. Lmao', 'I’d let a skinny street nigga pistol whip me while i throat his meat sweartaGAWD🥴😅']"
390,389,17,389_bus_aboard_hoop_78bm1o1ixq,"['bus', 'aboard', 'hoop', '78bm1o1ixq', 'rasist', 'vagsghvc4b', 'alcsze69dn', 'o4hru64toa', '9smlgmnr4k', 'sze2iqiozv']","['Little ugly ass black bus driver', ""The black guy driving the bus ended up having the back of the bus hanging off of a cliff n they couldn't get the go… https://t.co/eKG1w9eQcW"", 'It’s white v black kids on a bus']"
391,390,17,390_trip_never_1ik6nxysgw_anywhere,"['trip', 'never', '1ik6nxysgw', 'anywhere', 'saudi', 'rental', 'janky', 'marrying', 'algorithm', 'spy']","['I would never trip on a nigga even if I had him 🤪', 'i would never trip on a nigga if i had him', 'I would never trip on a nigga if I had him.']"
392,391,17,391_looting_form_cars_3rxl52otcy,"['looting', 'form', 'cars', '3rxl52otcy', 'a6hkmmonsk', 'regspradling2', 'fsx9vnavk0', 'mozzaplex', '7ceuxbcl47', 'smhh']","['Looting is a form of protest why don’t politicians understand that? Looting is rooted in America’s history just go… https://t.co/fsX9VnAvK0', 'Is looting a form of protest or something?', 'Is looting a form of protest of something?']"
393,392,17,392_donyae2fly_pmitchg35_primetimeralph_cuddy,"['donyae2fly', 'pmitchg35', 'primetimeralph', 'cuddy', 'thizzz', 'looopyloopss', 'whereisblockaye', 'johny2qs', 'hype', 'blackthought']","['@CoachShayy Happy Bday my nigga my bad I’m late asf 😂 🍾🍾🍾 turn up Shay 1800!', '@PMitchG35 That nigga be losin me Cuddy', '@RealSway @blackthought @verzuztv Ll cool j washing any nigga fyi lol']"
394,393,17,393_paintings_art_painting_apartment,"['paintings', 'art', 'painting', 'apartment', 'suggestions', 'paint', 'artists', '5g4lnkur6c', 'xclhqjv4g1', 'jukebox']","['in need of nice paintings, candles, &amp; small home decor to decorate my apartment with... drop some @‘s, preferably black owned. 🙂👀', 'I would like to purchase some beautiful art from local black artists for my apartment. Please drop suggestions.', 'I wanna teach myself how to paint art nouveau style so I can create black and brown characters for my resin pieces🥺… https://t.co/5G4lNKuR6C']"
395,394,17,394_brand_brands_marka_toget,"['brand', 'brands', 'marka', 'toget', 'relies', 'diversity', 'marketing', 'fadedimages', 'giyin', 'g5oz7svith']","['The strength of a brand relies on the diversity of its people and I know we will get through this by standing toget… https://t.co/AYOQPfUf6C', 'The strength of a brand relies on the diversity of its people and I know we will get through this by standing toget… https://t.co/zl3UmY2S5r', 'ama toplamda bi boka benzemiyo tarzı. marka takıntılı olmayın beğendiğinizi giyin. marka takıntısı ergenliktir.']"
396,395,17,395_different_dl_breed_lwsjtv8kfg,"['different', 'dl', 'breed', 'lwsjtv8kfg', 'norcals', 'differnce', 'packaged', 'shapeshifting', 'discreet', 'homeboys']","['These niggas different', 'niggas are different', 'niggas is different']"
397,396,17,396_death_cannon_murderer_27m,"['death', 'cannon', 'murderer', '27m', 'hslaczka', '2hcsbw0tff', 'zwstrrr6ga', 'bpoh8ralk9', 'colehughes2015', 'zlsfpdyy2l']","['Follow the link below to view the article.\n\n$2.27M awarded in deadly pinning\nhttps://t.co/fAr566VdPW Perhaps some justice for his family.', ""If you can't see how the Cannon Hinnant / #sayhisname story is a calculated and callous ploy to use his death to pr… https://t.co/2HCSBW0TfF"", '@quinngoesHAM @ZooNachos @taxijax @RexChapman Then they hashtag justice for Cannon, when his murderer was literally… https://t.co/Sd1v8sqzja']"
398,397,17,397_gossip_gossiping_detestable_smoov,"['gossip', 'gossiping', 'detestable', 'smoov', 'laioeqohhx', 'corporateplugg_', 'lt', 'vills_dareal1', 'referral', 'stick']","['Gossip girl has white privilege written all over it 😂', 'A lot of these niggas gossip more than these bitches', 'Niggas gossip like women lol who raised you niggas 😂']"
399,398,17,398_died_georgefloyd_zunfx9ztgk_stuartgordon,"['died', 'georgefloyd', 'zunfx9ztgk', 'stuartgordon', 'accordin', 'uqesqivm3t', '96uo3ybihu', 'wivsjzfxyg', '5m95bnna34', 'vwebac5opo']","['Of course the #breonnataylor death is a tragedy. However, @SHAQ and @TNTSirCharles are 100% correct in their analys… https://t.co/YDfdW5TodD', 'At least 19 unhoused folx DIED from being outside during the latest heatwave...but no need to discuss that accordin… https://t.co/96Uo3yBiHu', '@SeifGebre @OromiaMedia Do you really don’t know? Haace was questioning the 100,000 plus Qeerroos who died in far a… https://t.co/WiVSjZfXyG']"
400,399,17,399_kanye_west_bush_doesn,"['kanye', 'west', 'bush', 'doesn', 'care', 'choice', '3mrnbh1yuy', 'fidgets', 'cc6esvc0ga', 'glffqj5efg']","['remember when Kanye West said “George Bush doesn’t care about black people”', 'Kanye West is never going black again 😂.', 'Kanye West doesn’t like black people']"
401,400,17,400_resources_y0shqshhzg_ages_1afvh6dif4,"['resources', 'y0shqshhzg', 'ages', '1afvh6dif4', 'growthmindset', '4mtevjvljn', 'actfl', 'headmentors', 'youngstory', 'langchat']","['Resources from @class_culture re: #racism #racists #protest #protests2020 @PalmdaleSchools @PalmdaleCity https://t.co/UKBL1LKJsB', 'Here are some anti-racism resources for all ages. What resources do you use &amp; recommend? @actfl #langchat #educhat https://t.co/y0SHqShHZG', 'Here are some anti-racism resources for all ages. What resources do you recommend and use?   https://t.co/y0SHqShHZG']"
402,401,17,401_bald_10milekid_ognfggptk3_dirtbagbrandon,"['bald', '10milekid', 'ognfggptk3', 'dirtbagbrandon', 'madagascar', 'chidofauxreal', 'centuryesq', 'lokoazze_man', 'penmanship', 'dorroko']","['@MrStark_42 @dorroko Bruh at this point thug and Carti prolly the same nigga', '@CenturyEsq Nah nigga I’m talkin derek fisher bald', '@jboy_83 This nigga think he the lion from Madagascar 😂😂 https://t.co/OgNfGgpTk3']"
403,402,17,402_tew_latreze92_glolo___ybn_spiff1,"['tew', 'latreze92', 'glolo__', 'ybn_spiff1', 'dalyv203', 'zavyan', 'koolin', 'naaaaaaaaayira', 'painnnnnnnnnn', '4getit_']","['@zavyan I’m a call you baskin robins with all these flavors nigga', '@_Rollski @Licmy_CHOCOLATE See niggas do tew much', '@BossinOnBitches @chrisbuuuh Im rollllllin niggas do tew much 🤣🤣🤣🤣']"
404,403,17,403_14wp6nqmwr_jawing_2eb8xe6nm5_therealsupernat,"['14wp6nqmwr', 'jawing', '2eb8xe6nm5', 'therealsupernat', 'wvvvh019gv', 'st4hgkcofh', 'uhbiuz3sbt', 'tommayydoee', 'hquefqqhtd', 'cpwlsapq1w']","['@Dar_nee_quaa Girllllaaaaa!!! Is he fr? I would have haha’d the message where he said “you got other niggas that’ll… https://t.co/sT4HGKCOfh', '@JWashTheLegend Lol this nigga thought he was @TheRealSuperNat. Talking bout just give me one word and I’ll bust a… https://t.co/DCnXhT5jOL', '@JeffGalliher @LafeDunn @MyPillowUSA @realMikeLindell He said “childish temper tantrum”.  wtf.  Holy kettle black B… https://t.co/UHbiUz3sBt']"
405,404,17,404_blackouttuesday_california_angeles_county,"['blackouttuesday', 'california', 'angeles', 'county', 'los', 'solidarity', '0drvd0ymxw', 'gr1ngofqjn', '1kipjwnbw2', 'awhexhjgck']","['#blackouttuesday #solidarity @ Los Angeles, California https://t.co/RivCEWI7bP', '#blackouttuesday #blacklivesmatter #solidarity @ Los Angeles, California https://t.co/IAzR3QVzxv', '✊🏿✊🏾✊🏽✊🏻#blackouttuesday #blacklivesmatter #georgefloyd @ Los Angeles County, California https://t.co/2Fio9E8vsZ']"
406,405,16,405_kaplan_0s36vb0ybe_dj0aundiah_rehears,"['kaplan', '0s36vb0ybe', 'dj0aundiah', 'rehears', 'mmpnctkruy', 'buyuk', 'c7mwxzf4mj', 'speakerboehner', 'phaw9z0uvy', 'curio']","['Earl Kaplan is ally and bro against twin David Farley Kaplan. \nHe helped sponsor me on Mother Divine when I was ass… https://t.co/dJ0aundIah', '@sergiolonghi Esquece esse cara, se quisesse renovar, teria renovado já. Empresário quer levar o mlk pra fora. \n\nTo… https://t.co/sw3j6TdChz', '@Fideliity Alec alatli su anda reis’in en buyuk destekcisi. Eski yazdiklarinin pek bi onemi kalmiyor da, nato ve ab… https://t.co/bKP7PVztQ2']"
407,406,16,406_90s_80s_90_80,"['90s', '80s', '90', '80', 'different', 'denver', 'gumby', 'nfgpxqs1vj', 'eddyoungboy', 'eloylopeziii']","['@keyahre23 Those 80s/90s niggas were DIFFERENT 🤣😂😂', '@TeeRose1200 Late 80s early 90s really when niggas started wearing boxes and Gumby’s', 'This nigga was ahead of his time, but granted the nba didnt get better until the late 80s-early 90s']"
408,407,16,407_culture_benefit_iwt6yjhw4z_misapropriator,"['culture', 'benefit', 'iwt6yjhw4z', 'misapropriator', 'ioy9zrfmnh', 'qixpm3kyqg', '1mdjo6622s', 'romanticizing', 'stoop', 'general']","['Yall mixing up hood culture with black culture. Please hun, take a seat.', 'What would y’all do without black culture 😂😂', 'How bout just our culture in general.... black culture is pop culture 🤷🏽\u200d♂️']"
409,408,16,408_running_g3j4ijkxcg_o__o_passionjones,"['running', 'g3j4ijkxcg', 'o__o', 'passionjones', 'mackk', 'blvcklefty', 'ayoair', 'nelyosjd4r', 'hmpf', 'run']","['Hmpf!\n\nLol!!\n\nRun niggas run!!\n\nLeave me behind!!!!\n\nO__O;; https://t.co/NelYOSjD4r', '@Blvcklefty Nigga you still the hardest running back i ever seen I swear to god, nigga was rushing for like 5-6 TDs a game', 'Aye the homies said Fat Mackk was running yesterday and LMFAOOOOOOOO I wish I coulda seen it cause I ain’t never seen that nigga run befo']"
410,409,16,409_gospel_church_social_priest,"['gospel', 'church', 'social', 'priest', 'keyboard', 'trendy', 'catholic', 'warriors', 'warrior', 'christians']","['🔥 same could be said to all you trendy social justice church goers and keyboard warriors. Where has your “outrage”… https://t.co/3OCl3biiLN', 'All these “social justice warrior” preachers need to distinguish THEIR gospel from the BIBLICAL Gospel...', 'For all you trendy social justice church keyboard warriors.. and NO, Marxism isn’t in the Book of Mark. #Bible']"
411,410,16,410_fired_needs_chief_officer,"['fired', 'needs', 'chief', 'officer', '5iripqekdd', 'qntggaxpe5', 'justtransitions', 'arradando', 'raleighgov', 'ilhyvqiqqa']","['@DevinCow @KenoshaPolice This police chief needs to be fired YESTERDAY!!!! 😡', 'What’s the police chief’s name...? We’ll get him fired as well.', '@TMZ That police officer needs to be fired!! ASAP']"
412,411,16,411_government_sssupremek__oceana___m4cd5xs48h,"['government', 'sssupremek', '_oceana__', 'm4cd5xs48h', 'lrfqh4zotu', 'extending', 'transfers', 'basing', 'lockdown', 'branches']","['I want the government bread too, put a nigga on', 'Imma be that one nigga to make money off the government', 'Wait these niggas hit the government lol']"
413,412,16,412_justiceforgeorgefloyd_nmut9itmq0_upsidedownflag_avengedsevenfold,"['justiceforgeorgefloyd', 'nmut9itmq0', 'upsidedownflag', 'avengedsevenfold', 'vfjbrbopbb', 'oa1yfjor3w', 'vz4zvff6wf', 'ufrouinfgb', 'youhavethepower', 'mtc3km5h3g']","['Attempted the “Shepherd of Fire “ Solo by @avengedsevenfold - doing a @synystergates solo justice is  hard work - A… https://t.co/QA1GCjLR1f', '@StewartalsopIII Cause is flexibly defined; 4 me, a righteous war (WW2 example), social justice for all. Non causal… https://t.co/sd8Oym88UW', '@csm_shockley @GoArmy @USArmy how to utilize it to cause a paradigm shift, enact justice &amp; build a perfect powerful… https://t.co/upKeK3prjS']"
414,413,16,413_jessica_cassandra_goofygal1171_x7zls08ifp,"['jessica', 'cassandra', 'goofygal1171', 'x7zls08ifp', 'u6tfabrt6a', '78ol9dvus9', 'baz', '1gs3cfotti', 'yassir_lester', 'gobigshowtbs']","['Utterly beautiful and ethereal. \n\nJames Dean &amp; Marlon Brando’s Loving Kiss. #lgbt #amor #Unforgettable #love… https://t.co/ZNbVHWBiNm', 'RIP JESSICA WALTERS! 🙏\nI had the privilege of working with Jessica when I was 19, and guest starred on a show calle… https://t.co/Q4iEu5YoQp', '@IMEGA_Arts @BraveBenevolent @jupiter_ripple Also I love Jessica Cruz and Simon baz both are poc characters. Last i… https://t.co/L5zmT789zz']"
415,414,16,414_baseball_korean_japanese_championcurry,"['baseball', 'korean', 'japanese', 'championcurry', 'standings', 'npb', '7s', 'curry', 'kenyu05', 'jhcdyxlscx']","['#npb japanese baseball: Standings. \n\nyomiuri starts seas 3-0 https://t.co/YuXqId1bzP', 'can’t wait for korean baseball tonight', 'fucked up in the crib watching korean baseball']"
416,415,16,415_domislivenews_ruger_yayforzig_gushhmane,"['domislivenews', 'ruger', 'yayforzig', 'gushhmane', 'interrogated', 'evander', 'xxxtentacion', 'legacies', 'yallluvcris', 'nasty']","['Idk if you have to get interrogated and questioned every 5 seconds that’s toxic. let a nigga breathe.', 'Evander thirsty for a check lmao nigga said “No more excuses....this is the fight that must happen for both our legacies.”', '@domislivenews I guess xxxtentacion not a legend either . That nigga ain’t do shit .']"
417,416,16,416_rationalligator_00miywmnvk_mayorburbankca_5evl0mwldn,"['rationalligator', '00miywmnvk', 'mayorburbankca', '5evl0mwldn', 'lrgvuocnfm', 'aymmujt1i2', 'bigmamijas', 'c2p0nia7qs', 'unknown_in_ca', 'cpygihrp2b']","['@myBurbankNEWS @BurbankCA @BurbankPD @MayorBurbankCA how does a police unit not take action?! Just drives away from… https://t.co/LRGvUOCNfM', '@rationalligator Either way, local police are more than capable of dealing with these issues. There’s no necessary… https://t.co/uFgFgDF6mB', '@rationalligator Again let the very well funded and equipped local police do their job. Nothing going on in Portlan… https://t.co/CPyGIhrP2B']"
418,417,16,417_genius_messickofficial_7leozeag2o_kingbolderr,"['genius', 'messickofficial', '7leozeag2o', 'kingbolderr', 'lamontagne', 'erasin', 'quadie', 'mixedhoopster', 'pacmanadv', 'bryanyang']","['Snitch or not. That nigga 69 is a genius', 'This nigga a genius', 'Lmfaoooooo nigga a genius']"
419,418,16,418_tax_4wnkekyjaz_irs_volunteers,"['tax', '4wnkekyjaz', 'irs', 'volunteers', 'certified', 'location', 'file', 'virtual', 'prep', 'online']","['https://t.co/4WnkEkYJaz 👨🏽\u200d💻\nFind a location 🤷🏽\u200d♂️ \nVirtual tax prep 📑\nFile online now 📂\nIRS-Certified Volunteers… https://t.co/TBDbJeS8Ml', 'https://t.co/4WnkEkYJaz 👨🏽\u200d💻\nFind a location 🤷🏽\u200d♂️ \nVirtual tax prep 📑\nFile online now 📂\nIRS-Certified Volunteers… https://t.co/ltpve0CffX', 'https://t.co/4WnkEkYJaz 👨🏽\u200d💻\nFind a location 🤷🏽\u200d♂️ \nVirtual tax prep 📑\nFile online now 📂\nIRS-Certified Volunteers… https://t.co/DvOOopFCbz']"
420,419,16,419_code_codes_323_solid,"['code', 'codes', '323', 'solid', 'kept', 'switched', '212', 'kitkat', 'dodo', 'cloihutvvx']","['I kept it solid but niggas switched codes..', 'kept it solid but niggas switched codes', 'My area code is 323 yo nigga area code something else . We are not the same']"
421,420,16,420_god_religion_sluggahjells_creation,"['god', 'religion', 'sluggahjells', 'creation', 'slavery', 'realrbhjr', 'humanis', 'anmolgul2', 'xwpf5zhfup', '6esnwtpr9e']","['Why does God hate racial prejudice? \n\nRacial prejudice questions God’s creation.\nGod could have made us all the sam… https://t.co/2iYbNsWEew', '@sluggahjells God doesn’t judge God doesn’t hate God doesn’t care about black or white or pink or purple. Who are y… https://t.co/OUvz17sH2B', '@sluggahjells @questlove God doesn’t care about black or white and God doesn’t like ugly.\nDude you sound really ign… https://t.co/CFkEoZHR0s']"
422,421,16,421_malcolm_martin_vhw98euamk_saintsboro,"['malcolm', 'martin', 'vhw98euamk', 'saintsboro', 'luthe', 'sallypa67830261', 'stokely', 'crapola', 'carmichael', 'suxugbd8f3']","['I will never let y’all forget y’all said Malcolm X was bisexual', 'Pretty privilege really didn’t really work out for Malcolm X.', 'Man rip my nigga Malcolm X']"
423,422,16,422_hollywood_kedrenhealth_thisisourshot_institutio,"['hollywood', 'kedrenhealth', 'thisisourshot', 'institutio', 'visiting', 'matter', 'cagovernor', 'historically', 'lives', 'films']","['Love &amp; Basketball is in the pantheon of black films. \n\nBeyond the Lights is criminally underseeen. \n\nTime to watch… https://t.co/S6JnGAEXlG', '#ThisIsOurShot Thank you @GavinNewsom @CAgovernor for visiting #KEDRENHEALTH today--a historically black institutio… https://t.co/i8MXEHGGqZ', '#ThisIsOurShot Thank you @GavinNewsom @CAgovernor for visiting #KEDRENHEALTH today--a historically black institutio… https://t.co/LWSsvQJQmS']"
424,423,16,423_selfies_selfie_posting_random,"['selfies', 'selfie', 'posting', 'random', 'load', 'carneenvara', 'xonij2yudf', 'uzxpn8pofc', '1mgwxhdyay', 'z6vosmo2o3']","['Delicious Food 🤤 and 😂 random bathroom selfie lol #brazilian #food #carneenvara #cuisine #selfie #food #foodporn @… https://t.co/iUzBYAUjJu', '🦕Sunday selfies? 🦖 #selfie #filters #piercings #lesbian #yolo #fakeittillyoumakeit #random @ Woodland Hills https://t.co/LTiBKiULmA', 'I can hear Mel saying “you taking a selfie nigga? A selfie ? Look at this nigga taking a selfie” 🤣🤣🤣']"
425,424,16,424_playlist_kaji_crunk_xoxoxox,"['playlist', 'kaji', 'crunk', 'xoxoxox', 'bfffs', 'hirasawa', 'susumu', 'plutoxjeffery', 'nmf', 'jstanartist_']","['Anybody got a bad bitch playlist they recommend when niggas got them fucked up?😭😭', 'stud count on this playlist w some homies 😌 🙏', 'This nigga really made me a Max B playlist.... 😭😭😭😭😭']"
426,425,16,425_starbucks_barista_jgobabc3xm_jay_boogie44,"['starbucks', 'barista', 'jgobabc3xm', 'jay_boogie44', '_dopeitsdon', 'planm204tj', 'ifiwasperfect', 'okvodr5tuo', 'dickaddicktedx', 's6qute5qok']","['Starbucks workers always rush my black ass but when I say my order fast they tell me to repeat myself... I can’t win', 'Starbucks got my order wrong &amp; my son says “ mom don’t get off the car your hella ghetto I’ll go tell them” \n💀💀💀', 'This nigga been driving round looking for a mf Starbucks all this time 😑']"
427,426,16,426_dance_dancing_danceforblacklivesla_party,"['dance', 'dancing', 'danceforblacklivesla', 'party', 'ymca', 'tph4vdapen', 'musingmuttering', 'belskv812q', 'k3oqtu9drd', 'o7naasxtzc']","[""BLM protest turns into MAGA YMCA dance party and it's just what the doctor ordered https://t.co/JF8RFoeSpm  via @BIZPACReview"", '@danceforblacklivesla dance party protest last night. 💜🎶💃\n\n#BLM #BlackLivesMatter #protest #sayhername #nomorenames… https://t.co/HtOQ7pgbwd', 'Last night @danceforblacklivesla held a dance party protest in West Hollywood.\n\n#blm #blacklivesmatter @ West Holly… https://t.co/BeLskV812Q']"
428,427,16,427_trust_miltona54_thekategaffney_reputari,"['trust', 'miltona54', 'thekategaffney', 'reputari', 'pczyz9gsqt', 'nqj1zfarrj', 'cxwjcqssjb', 'xqbcaanf7t', 'kt8b0grmus', 'internally']","['I don’t understand. And there are questions as to why people don’t trust the police ... ridiculous.', 'Then you wonder why people don’t trust the police 😤🤬', 'Can’t trust the police']"
429,428,16,428_meat_bacon_tacos_gxldenkiddd,"['meat', 'bacon', 'tacos', 'gxldenkiddd', 'robld_', 'theogmikelowery', 'rrlmnhogvn', 'bailey_cyl', 'jesse_james32', 'allmyoppsrdead']","['@bailey_cyl do u guys sale halal or kosher meats at ur co-op ?', 'I seen 2 niggas steal a bacon wrapped hot dog on Hollywood. 1 nigga took the bun the other nigga grabbed the hot do… https://t.co/rrlmNhoGVN', '@jesse_james32 @gxldenkiddd Says the mf who eats tacos wit jus meat no sauce no cilantro no nothin, childish ass taste buds nigga we grown']"
430,429,16,429_understand_uonh4cjwdx_worryin_grasps,"['understand', 'uonh4cjwdx', 'worryin', 'grasps', 'constent', 'principle', 'understandable', 'boundaries', 'fw', '93']","['I don’t understand this nigga at all', 'But niggas don’t understand', 'I don’t understand niggas']"
431,430,16,430_struggles_zh1wflyptu_greenleafown_tarajiphenson,"['struggles', 'zh1wflyptu', 'greenleafown', 'tarajiphenson', 'cioacina', 'pvizprybdy', 'tf3qroe12c', 'ckar21', 'seriousl', 'hmeaalhdtq']","['Listen, @tarajiphenson...DO NOT EVER apologize for being emotional behind the struggles faced by the black communit… https://t.co/pvIZprYBDy', '@cIoacina @lexygraber143 &amp; once again I am not taking away from the struggles of black people, go look at my damn t… https://t.co/cNAUh7PqLi', '@ckar21 @junaid_aslam @CarmenGranddau1 @TheRock You mean we black people. But guess what? We are going to continue… https://t.co/hMeaAlhdTq']"
432,431,16,431_delusional_delusion_prlncegreene_hszktz0717,"['delusional', 'delusion', 'prlncegreene', 'hszktz0717', 'angeiaaliyah', 'lemercrediadams', 'john_cannady', 'jasmin_copeland', 'bonillakworld', 'gdbmatt']","['niggas be so delusional wtf', 'man what?! niggas be more delusional than these bitches lmao', 'Lmao niggas really out here delusional']"
433,432,16,432_increased_constitute_strongshoulder2_mikegatto,"['increased', 'constitute', 'strongshoulder2', 'mikegatto', 'wvh_yes', 'ela_hadrun', 'vpdwinters', 'valnfonsam', 'uplandpd', 'knf100']","['Fantastic work despite police violence @mellemusic @wvh_yes #FTP #mutualaid', '@Ela_Hadrun @BillFOXLA @FOXLA True, it’d be nice if the areas that support police could receive a broader and faster response basis', '@KNF100 @mikegatto Also prevention is crucial here. And having police patrolling puts them at risk of becoming sick and spreading illness.']"
434,433,16,433_ain_jokin_flewed_cuffin,"['ain', 'jokin', 'flewed', 'cuffin', 'whacked', 'congratulate', 'dolla', 'pussy', 'lame', 'carried']","[""Carried away, bitches break up with you if you don't break\nNiggas is lame, nigga my drive ain't the same"", 'You ain’t never got flewed out either your pussy ain’t good as you think it is or you fucking on some lame ass Lil niggas 😂', 'nigga don’t laugh cause the pussy ain’t jokin']"
435,434,16,434_scared_afraid_ytbzmx2ibm_lefstqealu,"['scared', 'afraid', 'ytbzmx2ibm', 'lefstqealu', 'dvy3gmrh2j', 'e1gobhuuzb', 'f1mwwzamnw', 'greenwagonlilly', 'gtvwmd9zk7', 'iuxuqthblw']","['White people arent scared of stuff like this but they are scared of a black man....  https://t.co/IuxuQthBLW', 'Why are all these trashy whites so scared of blacks ?  If a white mates with a dark-skinned individual that race wi… https://t.co/vKKV8MamwY', '@greenwagonlilly Dear Lily, I’m stating that black people r feared by whites even in situations where we r incapabl… https://t.co/gtVWmD9zK7']"
436,435,15,435_yo7onnlz9h_nt3kalbewv_haaaaaapyy_sirrrrr,"['yo7onnlz9h', 'nt3kalbewv', 'haaaaaapyy', 'sirrrrr', 'rachrodgersesq', 'resemble', 'bms', 'fashoo', 'chike', 'ambiguously']","['That nigga young boy fashoo got a type. All his bms resemble each other lol', 'me every other week when son of lar does or says something ambiguously fruity https://t.co/Yo7OnNLz9h', 'Lmaooo I really be having a full blown attitude with my dudes son lmaooo like I swear this nigga be taunting me lik… https://t.co/nT3KALBewv']"
